,Time,GPS_Data,GPS_Time,Sound Pressure,Humidity,PM1.0,PM2.5,PM10,Solar Light,Air Temperature,North_Wind,East_Wind,Gust_Wind,TGlobe,Latitude,Longitude,Wind Speed,MRT,MRT_S,UTCI
442,2023-06-19 15:28:32,60180.0,53635368.0,779.05,50.7935294117647,3.0,4.0,5.0,0.0,24.899999618530273,-2.315000057220459,-0.3199999928474426,2.3350000381469727,24.899999618530273,51.51486596,-0.065042555,2.337012036843861,24.899999618530273,24.899999618530273,23.1
443,2023-06-19 15:28:33,60180.0,53636368.0,789.939393939394,50.79,3.0,4.0,5.0,0.0,24.899999618530273,-1.834999918937683,-0.22999998927116394,1.8450000286102295,24.899999618530273,51.514864384,-0.06502162,1.8493579149440054,24.899999618530273,24.899999618530273,23.8
444,2023-06-19 15:28:34,60180.0,53637368.0,795.929292929293,50.79,3.0,4.0,5.0,0.0,24.899999618530273,-1.459999918937683,0.8650000095367432,1.880000114440918,24.899999618530273,51.514863464,-0.064996944,1.6970046493149649,24.899999618530273,24.899999618530273,23.7
445,2023-06-19 15:28:35,60180.0,53638368.0,780.34,50.79,3.0,4.0,5.0,0.0,24.899999618530273,-1.159999966621399,-0.03500001132488251,1.2649999856948853,24.899999618530273,51.514860288,-0.064973555,1.16052786410081,24.899999618530273,24.899999618530273,24.4
446,2023-06-19 15:28:36,60180.0,53639269.0,758.5050505050505,50.79,3.0,4.0,5.0,0.0,24.899999618530273,-0.2199999988079071,-0.7300000190734863,0.7599999904632568,24.899999618530273,51.514857828,-0.064949569,0.762430342603683,24.899999618530273,24.899999618530273,24.7
447,2023-06-19 15:28:37,60180.0,53640269.0,748.2929292929293,50.79,3.0,4.0,5.0,0.0,24.899999618530273,-1.0399999618530273,-0.4650000333786011,1.1399999856948853,24.899999618530273,51.514851587,-0.064928946,1.1392212040233445,24.899999618530273,24.899999618530273,24.5
448,2023-06-19 15:28:38,60180.0,53641269.0,758.3535353535353,50.79,3.0,4.0,5.0,0.0,24.899999618530273,-1.7200000286102295,-0.4699999988079071,1.7850000858306885,24.899999618530273,51.514841943,-0.064911329,1.7830591962407258,24.899999618530273,24.899999618530273,23.8
449,2023-06-19 15:28:39,60180.0,53642269.0,748.4242424242424,50.77138613861386,3.0,4.36,5.72,0.0,24.899999618530273,-1.584999918937683,-0.20499999821186066,1.6399999856948853,24.899999618530273,51.514832376,-0.06489352,1.5982020342557834,24.899999618530273,24.899999618530273,24.0
450,2023-06-19 15:28:40,60180.0,53643269.0,749.58,50.77,3.0,5.0,7.0,0.0,25.0,-0.699999988079071,-0.7599999904632568,1.0299999713897705,25.0,51.514827539,-0.064875248,1.0332472931563141,25.0,25.0,24.7
451,2023-06-19 15:28:41,60180.0,53644269.0,854.3333333333334,50.77,3.6,5.0,7.0,0.0,25.0,-2.8000001907348633,0.5199999809265137,2.885000228881836,25.0,51.514823808,-0.06485692,2.84787658585811,25.0,25.0,22.5
452,2023-06-19 15:28:42,60180.0,53645269.0,792.7373737373738,50.750990099009904,4.0,5.0,7.0,0.0,25.0,-2.140000104904175,-0.09999999403953552,2.1649999618530273,25.0,51.514823809,-0.064837876,2.142335279034957,25.0,25.0,23.5
453,2023-06-19 15:28:43,60180.0,53646269.0,800.8787878787879,50.75,4.0,5.0,7.0,0.0,25.100000381469727,-1.5800000429153442,-0.7400000095367432,1.7400000095367432,25.100000381469727,51.51482554,-0.064818709,1.7447063219140548,25.100000381469727,25.100000381469727,24.1
